FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,MIATK,0,0,5418815,0,7324694,8559840,11912022,12345354,13292785,14977198,42341234,23477105,18642216,19165524,59337029,44823774,49536723,52698019,66738162,54997027,63225056,69036558
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,MIATK,0,0,116668,0,149876,176212,104601,183810,188018,260124,0,0,155766,175505,2666831,397082,2424669,1923772,0,0,0,481171
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,MIATK,0,0,0,0,0,3352,16006,88924,74018,14279,0,5581,0,0,1321331,2164649,2134591,2055872,56514675,44088796,52924831,25269730
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,MIATK,0,0,12775198,0,15239856,16283102,22517376,22809265,25231008,31637548,78493289,48393569,40678660,51937472,106476932,103285020,110228920,124786364,225740317,179907429,198577129,182631900
1BM,KAYNAKLAR,LIABILITIES,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,MIATK,0,0,2863192,0,5013923,4396414,3751577,3954693,3836305,7706656,14704867,12826408,10988241,10253896,17606440,18517087,21352402,28800214,46117895,35811588,40523401,46798599
2AA,Finansal Borçlar,Short-Term Financial Loans,MIATK,0,0,690754,0,1276439,1510399,316577,1014145,1736031,3223671,6517578,4925285,3623316,4109410,9772928,7848263,12714028,15678705,20869264,22508929,22824461,23977209
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,MIATK,0,0,0,0,0,0,0,0,0,0,62044,0,0,0,89699,36729,37305,37033,37684,39876,14548,3578
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,MIATK,0,0,2082736,0,3520223,2705238,2634006,2047052,1826520,4313174,7289285,6788173,5134250,3888204,6242870,7611595,3761145,7897811,16508980,7651350,10504366,20481131
2AAGAB,Diğer Borçlar,Other Short-Term Loans,MIATK,0,0,38478,0,0,0,0,0,0,0,0,0,486,26260,0,399772,1474422,1418468,1722634,1635778,1671409,-1062384
2AAGAC,Müşteri Söz. Doğan Yük.,None,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
