FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),SMRTG,-1419803,-258381,-614387,-958815,-1978309,-293435,-789466,-1843832,-5345880,-3428988,-5405563,-9437036,-14244523,-1702877,-4909677,-6195586,-8228227,-1012597,-2416968,-3900605
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),SMRTG,-2247883,-656349,-1607568,-2393561,-3001854,-573565,-1261250,-2380376,-6153632,-3455087,-7390991,-13611771,-19202335,-5627084,-11368764,-17779781,-23218784,-4348442,-9073561,-13655982
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-208167,-619478
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,SMRTG,40523921,6687437,7618569,7255599,17743614,1012937,3062085,4728096,18059812,2363918,51016955,51921842,55555659,4063501,29553587,40307512,43272692,2597229,13779254,19373748
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),SMRTG,-45366378,-4515612,-6129833,-4895633,-11581133,-278452,-1469112,-2833212,-14320965,-1951086,-27518851,-50396115,-30780312,-6691151,-10161902,-22088718,-46623225,-6229408,-11015033,-25166936
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,SMRTG,8648033,4051012,3327316,7575767,16257328,3140310,6412399,9833056,28732835,7237784,46811074,70463554,103256809,25872890,42582465,50316740,51983071,3244237,14197258,15204175
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,SMRTG,13490490,1879187,1838580,5215801,10094847,2405825,4819426,7938172,24993988,6824952,23312970,68937827,78481462,28500540,23190780,32097947,55333604,6876416,11433037,20997364
3HA,Yatırım Faaliyetlerinden Gelirler,None,SMRTG,0,0,0,0,0,0,0,479331,1189846,270853,6271362,6821774,6062684,234645,1084479,1290331,1641932,0,0,0
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAB,Diğer Gelir ve Giderler,None,SMRTG,0,-451116,-436279,-615531,-704235,-54689,-153533,-323949,-840494,-126610,-855387,-678087,-856975,-138283,-527139,-768756,-514966,-122856,-342506,-439985
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,SMRTG,0,0,0,0,0,0,0,0,0,13396,0,0,0,0,0,0,0,0,-786,-820
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,SMRTG,8648033,3599896,2891037,6960237,15553093,3085621,6258866,9988438,29082187,7395424,52227050,76607242,108462519,25969252,43139804,50838316,53110037,3121382,13853966,14763370
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),SMRTG,2243761,0,0,29,50,47822,290797,421591,946393,383568,913956,2591439,8268547,928237,1260226,2970049,3999496,1040538,2910007,7386550
