FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),ALFAS,-1510862,-446810,-1006921,-1241569,-262146,-794394,-1263495,-13729806,-7377900,-6907642,-28957051,-33047776,-8975647,-10653827,-22817450,-24853976,-6393244,-15732027,-25867119
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,ALFAS,6306,-417,22439,5766,206212,400294,537171,3069157,10786469,28233841,28858608,35502716,4890047,10493081,11421449,13693359,832859,6612932,13953106
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,ALFAS,5889311,882036,2823242,5756221,2733860,8834793,12605070,43976789,25579170,51231247,68269082,74829480,-15450341,13804297,16292453,13452794,580891,2485369,3629529
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,ALFAS,-364824,-157967,484849,-333053,-111194,497209,4614650,5136330,-9443082,-9473542,-14052700,-11868144,-2277358,-4859402,-6153048,-5915216,-1194968,-1531107,-4028651
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),ALFAS,-295015,-36664,-220445,-210303,-139734,-151162,-179062,-5377390,-3046004,-1829993,-4002226,-5820861,0,-973457,-3184384,-1464102,-642466,-74837,-602867
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,ALFAS,-69809,-121303,705294,-122751,28539,648371,4793711,10513720,-6397078,-7643549,-10050473,-6047283,-2277358,-3885945,-2968664,-4451114,-552502,-1456270,-3425784
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,ALFAS,5524487,724069,3308091,5423168,2622666,9332002,17219720,49113119,16136089,41757705,54216382,62961336,-17727699,8944895,10139405,7537578,-614077,954261,-399122
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,ALFAS,5524487,724069,3308091,5423168,2622666,9332002,17219720,49113119,16136089,41757705,54216382,62961336,-17727699,8944895,10139405,7537578,-614077,954261,-399122
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3LB,Azınlık Payları,Minority Interests,ALFAS,0,0,0,0,0,0,0,0,0,0,0,-1677,-19676,-46181,-66857,-63209,-20007,-11664,-31094
3Z,Ana Ortaklık Payları,Parent Shares,ALFAS,5524487,724069,3308091,5423168,2622666,9332002,17219720,49113119,16136089,41757705,54216382,62963013,-17708024,8991076,10206262,7600787,-594070,965925,-368029
3ZD,Hisse Başına Kazanç,Earnings per Share,ALFAS,2,0,0,0,0,0,0,1,0,1,0,0,-0,0,0,0,-0,0,-0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,ALFAS,0,0,1,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0
